Text,Image100%,Mix50:50,Text100%,Average
"海",0.756,0.000,0.918,0.558
"海",0.756,0.849,0.000,0.535
"浜辺",0.756,0.000,0.942,0.566
"浜辺",0.756,0.926,0.000,0.561
"浜辺",0.756,0.996,0.000,0.584
"海岸",0.756,0.000,1.000,0.585
"海岸",0.756,1.000,0.000,0.585
"海岸",0.756,1.000,0.000,0.585
"砂浜",0.756,0.000,0.950,0.569
"砂浜",0.756,0.986,0.000,0.581
"波打ち際",0.756,0.000,0.975,0.577
"波打ち際",0.756,0.902,0.000,0.553
"波打ち際",0.756,0.940,0.000,0.565
"夜景",0.756,0.000,1.000,0.585
"夜景",0.756,0.883,0.000,0.546
"夜景",0.756,0.987,0.000,0.581
"夜景",0.756,0.944,0.000,0.567
"夜",0.756,0.000,1.000,0.585
"夜",0.756,0.974,0.000,0.577
"夜の景色",0.756,0.000,1.000,0.585
"夜の景色",0.756,0.985,0.000,0.580
"夜の景色",0.756,0.973,0.000,0.576
"夜の展望",0.756,0.000,1.000,0.585
"夜の展望",0.756,0.990,0.000,0.582
"夜の眺め",0.756,0.000,1.000,0.585
"夜の眺め",0.756,0.859,0.000,0.538
"自然",0.756,0.000,0.975,0.577
"自然",0.756,0.937,0.000,0.564
"木",0.756,0.000,0.971,0.576
"木",0.756,0.872,0.000,0.543
"木",0.756,0.849,0.000,0.535
"森",0.756,0.000,0.901,0.552
"森",0.756,0.523,0.000,0.426
"森",0.756,0.983,0.000,0.580
"森",0.756,0.709,0.000,0.488
"山",0.756,0.000,0.970,0.575
"山",0.756,1.000,0.000,0.585
"滝",0.756,0.000,0.852,0.536
"滝",0.756,0.930,0.000,0.562
"滝",0.756,0.836,0.000,0.531
"レトロ",0.756,0.000,1.000,0.585
"レトロ",0.756,0.988,0.000,0.581
"レトロ",0.756,0.939,0.000,0.565
"懐かしい",0.756,0.000,0.908,0.555
"懐かしい",0.756,0.820,0.000,0.525
"懐かしい",0.756,0.929,0.000,0.562
"昔ながら",0.756,0.000,0.994,0.583
"昔ながら",0.756,0.848,0.000,0.535
"昔ながら",0.756,0.940,0.000,0.566
"昭和",0.756,0.000,0.925,0.560
"昭和",0.756,0.937,0.000,0.564
"昭和",0.756,0.907,0.000,0.554
"昭和",0.756,0.944,0.000,0.567
"昭和",0.756,0.990,0.000,0.582
"ノスタルジック",0.756,0.000,0.792,0.516
"ノスタルジック",0.756,0.975,0.000,0.577
"ノスタルジック",0.756,0.975,0.000,0.577
"晴れ",0.756,0.000,0.719,0.492
"晴れ",0.756,0.936,0.000,0.564
"晴れ",0.756,0.926,0.000,0.561
"雲一つない",0.756,0.000,0.916,0.557
"雲一つない",0.756,0.975,0.000,0.577
"雲一つない",0.756,0.714,0.000,0.490
"雲一つない",0.756,0.826,0.000,0.527
"青空",0.756,0.000,0.774,0.510
"青空",0.756,0.880,0.000,0.545
"青空",0.756,0.853,0.000,0.536
"青空",0.756,0.966,0.000,0.574
"太陽",0.756,0.000,0.922,0.559
"太陽",0.756,0.863,0.000,0.540
"都市",0.756,0.000,0.968,0.575
"都市",0.756,0.990,0.000,0.582
"都市",0.756,0.851,0.000,0.536
"街中",0.756,0.000,0.952,0.569
"街中",0.756,0.912,0.000,0.556
"街",0.756,0.000,0.929,0.562
"街",0.756,0.987,0.000,0.581
"街",0.756,0.847,0.000,0.534
"街",0.756,0.983,0.000,0.580
"城",0.756,0.000,0.910,0.555
"城",0.756,0.933,0.000,0.563
"神社",0.756,0.000,0.930,0.562
"神社",0.756,0.889,0.000,0.548
"神社",0.756,0.865,0.000,0.540
"神社",0.756,1.000,0.000,0.585
"神社",0.756,0.991,0.000,0.582
"寺",0.756,0.000,0.915,0.557
"寺",0.756,1.000,0.000,0.585
"寺",0.756,0.868,0.000,0.541
